agency_name,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,Within_30_Miles
Adams County Fire Protection District,8055 N Washington ST, ,Denver,CO,80229-5818,False
North Metro Fire Rescue District,101 Spader WAY, ,Broomfield,CO,80020-2421,False
Thornton Fire Department,9500 Civic Center DR, ,Thornton,CO,80229-4326,False
Westminster Fire Department,9110 Yates ST, ,Westminster,CO,80031-2540,False
Aurora Fire Department,15151 E Alameda Pkwy #4100, ,Aurora,CO,80012-1555,False
Sheridan Fire Department,4101 S Federal BLVD, ,Sheridan,CO,80110,False
South Metro Fire Rescue Authority,9195 E Mineral AVE, ,Centennial,CO,80112-3549,False
City of Boulder Fire Department,3065 Center Green DR, ,Boulder,CO,80301-2251,False
Lafayette Fire Department,401 N 111TH ST, ,Lafayette,CO,80026,False
Denver Fire Department,745 W Colfax AVE, ,Denver,CO,80204,False
Castle Rock Fire & Rescue Department,300 Perry ST, ,Castle Rock,CO,80104-2421,False
Eagle County Regional Airport Fire Department - ARFF,0219 Eldon Wilson RD,PO Box 850,Gypsum,CO,81637,False
Eagle River Fire Protection District,1050 Edwards Village BLVD, ,Edwards,CO,81632,False
Vail Fire & Emergency Services,2399 N Frontage RD W, ,Vail,CO,81657-4285,False
Colorado Springs Fire Department,375 Printers PKWY, ,Colorado Springs,CO,80910,False
Monument Fire District,"16055 Old Forest Point, STE 103", ,Monument,CO,80132-8670,False
USAF Academy Fire & Emergency Services,6202 Pine DR STE 100, ,USAF Academy,CO,80840,False
Black Hawk Fire Department,"137 Clear Creek ST, STE 200", ,Black Hawk,CO,80422,False
Arvada Fire Protection District,7903 Allison WAY, ,Arvada,CO,80005-5033,False
West Metro Fire Rescue,433 S Allison PKWY, ,Lakewood,CO,80226-3133,False
City of Grand Junction Fire Department,625 Ute AVE, ,Grand Junction,CO,81501-7720,False
Mesa Verde National Park Fire Department,CRO Museum Loop RD, ,Mesa Verde National Park,CO,81330,False
Pueblo Fire Department,1551 Bonforte BLVD, ,Pueblo,CO,81001-1642,False
Pueblo Rural Fire District,29912 HWY 50 E, ,Pueblo,CO,81006-9685,False
City of Steamboat Springs,2600 Pine Grove RD,PO Box 775088,Steamboat Springs,CO,80477,False
Lake Dillon Fire Protection District,401 Blue River PKWY, ,Silverthorne,CO,80498,False
Red White & Blue Fire District,316 N Main ST, ,Breckenridge,CO,80424,False
Evans Fire Protection District,2100 37th ST, ,Evans,CO,80620,False
Frederick-Firestone Fire Protection District,8426 Kosmerl PL, ,Frederick,CO,80504-5444,False
Greeley Fire Department,1155 10th AVE, ,Greeley,CO,80631-3813,False
Mountain View Fire Protection District,3561 Stagecoach RD, ,Longmont,CO,80504-6256,False
